chapter,title,volume,start_page,summary_chars,characters,techniques,terms,verification
181,東京第２結界①,21,7,167,8,0,5,phase10-crosschecked-secondary-not-primary-pages
182,東京第２結界②,21,31,171,2,2,4,phase10-crosschecked-secondary-not-primary-pages
183,東京第２結界③,21,51,166,2,3,4,phase10-crosschecked-secondary-not-primary-pages
184,東京第２結界④,21,71,153,5,3,4,phase10-crosschecked-secondary-not-primary-pages
185,バイバイ,21,91,157,5,2,3,phase10-crosschecked-secondary-not-primary-pages
186,東京第２結界⑤,21,111,158,3,4,4,phase10-crosschecked-secondary-not-primary-pages
187,東京第２結界⑥,21,131,170,6,3,5,phase10-crosschecked-secondary-not-primary-pages
188,東京第２結界⑦,21,151,171,2,3,4,phase10-crosschecked-secondary-not-primary-pages
189,東京第２結界⑧,21,171,158,2,4,4,phase10-crosschecked-secondary-not-primary-pages
190,東京第２結界⑨,21,191,168,9,3,5,phase10-crosschecked-secondary-not-primary-pages
191,桜島結界①,22,7,161,6,2,4,phase10-crosschecked-secondary-not-primary-pages
192,桜島結界②,22,27,164,3,5,4,phase10-crosschecked-secondary-not-primary-pages
193,桜島結界③,22,47,159,4,4,4,phase10-crosschecked-secondary-not-primary-pages
194,桜島結界④,22,67,170,6,4,4,phase10-crosschecked-secondary-not-primary-pages
195,桜島結界⑤,22,87,164,5,2,4,phase10-crosschecked-secondary-not-primary-pages
196,桜島結界⑥,22,107,167,5,1,5,phase10-crosschecked-secondary-not-primary-pages
197,桜島結界⑦,22,127,156,5,3,4,phase10-crosschecked-secondary-not-primary-pages
198,桜島結界⑧,22,147,158,6,3,5,phase10-crosschecked-secondary-not-primary-pages
199,仇名,22,167,167,11,1,6,phase10-crosschecked-secondary-not-primary-pages
200,直接会談①,23,7,176,12,3,5,phase10-crosschecked-secondary-not-primary-pages
201,直接会談②,23,27,172,5,2,4,phase10-crosschecked-secondary-not-primary-pages
202,血と油①,23,47,165,5,1,5,phase10-crosschecked-secondary-not-primary-pages
203,血と油②,23,67,154,6,4,3,phase10-crosschecked-secondary-not-primary-pages
204,血と油③,23,87,164,5,6,3,phase10-crosschecked-secondary-not-primary-pages
205,星と油①,23,107,176,5,4,4,phase10-crosschecked-secondary-not-primary-pages
206,星と油②,23,127,178,5,5,5,phase10-crosschecked-secondary-not-primary-pages
207,星と油③,23,147,166,4,6,4,phase10-crosschecked-secondary-not-primary-pages
208,星と油④,23,167,184,8,4,4,phase10-crosschecked-secondary-not-primary-pages
209,未知への供物①,24,7,172,8,1,5,phase10-crosschecked-secondary-not-primary-pages
210,未知への供物②,24,27,175,6,2,4,phase10-crosschecked-secondary-not-primary-pages
211,熟む,24,47,188,18,0,5,phase10-crosschecked-secondary-not-primary-pages
212,膿む,24,67,181,7,1,6,phase10-crosschecked-secondary-not-primary-pages
213,呪胎戴天-伍-,24,87,172,7,5,5,phase10-crosschecked-secondary-not-primary-pages
214,呪胎戴天-陸-,24,111,156,5,2,4,phase10-crosschecked-secondary-not-primary-pages
215,呪胎戴天-漆-,24,130,176,5,5,5,phase10-crosschecked-secondary-not-primary-pages
