chapter,title,volume,summary_length,characters,techniques,terms,verification
80,宵祭り,10,192,4,5,5,phase5-crosschecked-secondary-not-primary-pages
81,宵祭り―弐―,10,196,9,6,5,phase5-crosschecked-secondary-not-primary-pages
82,宵祭り―参―,10,207,4,5,6,phase5-crosschecked-secondary-not-primary-pages
83,渋谷事変①,10,209,17,1,7,phase5-crosschecked-secondary-not-primary-pages
84,渋谷事変②,10,198,6,5,5,phase5-crosschecked-secondary-not-primary-pages
85,渋谷事変③,10,198,8,3,4,phase5-crosschecked-secondary-not-primary-pages
86,渋谷事変④,10,179,6,2,5,phase5-crosschecked-secondary-not-primary-pages
87,渋谷事変⑤,10,190,5,1,4,phase5-crosschecked-secondary-not-primary-pages
88,渋谷事変⑥,10,176,9,3,4,phase5-crosschecked-secondary-not-primary-pages
89,渋谷事変⑦,11,197,5,7,6,phase5-crosschecked-secondary-not-primary-pages
90,渋谷事変⑧,11,207,12,3,7,phase5-crosschecked-secondary-not-primary-pages
91,渋谷事変⑨,11,205,13,3,5,phase5-crosschecked-secondary-not-primary-pages
92,渋谷事変⑩,11,202,20,3,6,phase5-crosschecked-secondary-not-primary-pages
93,渋谷事変⑪,11,212,17,2,6,phase5-crosschecked-secondary-not-primary-pages
94,渋谷事変⑫,11,196,8,4,5,phase5-crosschecked-secondary-not-primary-pages
95,渋谷事変⑬,11,196,7,8,4,phase5-crosschecked-secondary-not-primary-pages
96,渋谷事変⑭,11,201,6,5,5,phase5-crosschecked-secondary-not-primary-pages
97,渋谷事変⑮,11,197,7,8,7,phase5-crosschecked-secondary-not-primary-pages
