chapter,title,volume,start_page,summary_chars,characters,techniques,terms,status
137,堅白,16,67,179,7,1,4,phase8-crosschecked-secondary-not-primary-pages
138,禪院家,16,89,191,10,0,3,phase8-crosschecked-secondary-not-primary-pages
139,狩人,16,109,159,5,4,2,phase8-crosschecked-secondary-not-primary-pages
140,執行,16,129,173,5,2,2,phase8-crosschecked-secondary-not-primary-pages
141,うしろのしょうめん,16,149,172,6,4,1,phase8-crosschecked-secondary-not-primary-pages
142,お兄ちゃんの背中,16,169,185,4,4,2,phase8-crosschecked-secondary-not-primary-pages
143,もう一度,17,7,189,10,1,3,phase8-crosschecked-secondary-not-primary-pages
144,あの場所,17,27,187,10,0,5,phase8-crosschecked-secondary-not-primary-pages
145,裏,17,47,197,15,3,8,phase8-crosschecked-secondary-not-primary-pages
146,死滅回游について,17,67,204,12,0,7,phase8-crosschecked-secondary-not-primary-pages
147,パンダだって,17,87,188,7,0,4,phase8-crosschecked-secondary-not-primary-pages
148,葦を啣む,17,107,194,8,2,4,phase8-crosschecked-secondary-not-primary-pages
149,葦を啣む―弐―,17,127,182,4,3,5,phase8-crosschecked-secondary-not-primary-pages
150,葦を啣む―参―,17,147,180,8,1,4,phase8-crosschecked-secondary-not-primary-pages
151,葦を啣む―肆―,17,171,193,5,1,2,phase8-crosschecked-secondary-not-primary-pages
152,葦を啣む―跋―,17,191,188,5,0,4,phase8-crosschecked-secondary-not-primary-pages
153,賭け試合,18,7,190,8,0,2,phase8-crosschecked-secondary-not-primary-pages
154,潜入,18,27,184,6,3,1,phase8-crosschecked-secondary-not-primary-pages
155,熱,18,47,187,7,2,2,phase8-crosschecked-secondary-not-primary-pages
156,きらきら星,18,67,183,4,4,3,phase8-crosschecked-secondary-not-primary-pages
157,部品,18,87,176,9,1,2,phase8-crosschecked-secondary-not-primary-pages
158,コガネ,18,107,215,11,0,8,phase8-crosschecked-secondary-not-primary-pages
